total.pckts,tcp.pct,udp.pct,other.pct,ip.src.unique,ip.dest.unique,eth.src.unique,eth.dest.unique,pkt.length.mean,pkt.length.std,pkt.length.var,pkt.length.min,pkt.length.max,pkt.length.pquartil,pkt.length.med,pkt.length.tquartil,pkt.delta.mean,pkt.delta.std,pkt.delta.var,pkt.delta.min,pkt.delta.max,pkt.delta.pquartil,pkt.delta.med,pkt.delta.tquartil,ttl.mean,ttl.std,ttl.var,ttl.min,ttl.max,ttl.pquartil,ttl.med,ttl.tquartil,tcp.flag.res.count,tcp.flag.cwr.count,tcp.flag.urg.count,tcp.flag.ack.count,tcp.flag.push.count,tcp.flag.reset.count,tcp.flag.syn.count,tcp.flag.fyn.count,dest.port.entropy,src.port.entropy,tcp.seq.entropy,label
2033,68.47024102311853,31.333005410723068,0.1967535661583866,162,181,2,3,692.2400393507132,678.9770714925482,461009.86361259694,60.0,1514.0,66.0,168.0,1480.0,0.0004910900147565174,0.001002882705370842,1.0057737207319387e-06,0.0,0.009899,1.1e-05,0.000123,0.000464,90.96896655189374,34.45684319483729,1187.274042953605,2.0,240.0,55.0,107.0,126.0,0,0,0,1370,408,4,40,29,0.7208881889076355,0.6492547634698848,0.5964864529997621,0
2247,66.26613262127282,33.511348464619495,0.22251891410769914,188,197,3,3,677.4512683578104,676.941590811486,458249.91737038526,60.0,1514.0,66.0,162.0,1480.0,0.0004434290164663996,0.0008136580510603121,6.620394240552655e-07,0.0,0.008285,1.4e-05,0.000136,0.0005024999999999999,93.60527592345349,35.494764098175054,1259.8782783850968,38.0,244.0,62.0,111.0,126.0,0,0,0,1461,392,14,42,50,0.705006608089198,0.6501735790474322,0.5786336097484553,0
2196,66.2568306010929,33.51548269581057,0.22768670309653918,169,177,5,5,664.193533697632,679.2010557596005,461314.074144956,60.0,1514.0,66.0,132.0,1480.0,0.0004549430783242259,0.0008842132778218399,7.818331206764421e-07,0.0,0.009598,1.075e-05,0.000126,0.000476,99.74024635701275,34.22477096234436,1171.3349474249296,37.0,255.128,63.0,114.0,126.0,0,0,0,1442,439,6,22,21,0.7102830599667125,0.6562207266389414,0.5906341341235828,0
1852,59.34125269978402,40.49676025917927,0.16198704103671707,164,173,2,2,673.9697624190064,676.1337471490912,457156.84403387114,60.0,1514.0,66.0,153.5,1480.0,0.000538785637149028,0.0009376204959546969,8.791321944343319e-07,0.0,0.007796,1.6e-05,0.000143,0.000594,97.83008477321813,34.183135255061835,1168.4867358658512,40.0,240.0,63.0,113.0,126.0,0,0,0,1085,368,5,23,14,0.7140786733347365,0.6539059581482216,0.5422424017224619,0
1980,55.101010101010104,44.494949494949495,0.40404040404040403,157,175,3,5,714.0454545454545,681.9531182843078,465060.0555376911,60.0,1514.0,66.0,175.5,1480.0,0.0005010555555555556,0.0009236252961374143,8.530836876649261e-07,0.0,0.009345,1.5e-05,0.00013,0.0005555,98.03328131313131,34.24885291582297,1172.9839260496758,40.0,253.0,63.0,114.0,126.0,0,0,0,1083,358,6,10,8,0.6977620439922259,0.6293389575555338,0.5264242757401958,0
1701,72.31040564373897,27.395649617871843,0.29394473838918284,151,160,4,4,637.7184009406232,663.9067254269146,440772.1400670886,60.0,1514.0,66.0,153.0,1480.0,0.000587299823633157,0.0010603092221250828,1.1242556465234984e-06,0.0,0.011208,1.5e-05,0.000159,0.000667,91.71187419165196,33.84333776731246,1145.3715112323982,40.102,245.0,55.0,107.0,126.0,0,0,0,1211,402,6,30,12,0.7499691076504682,0.6845722269809524,0.6275927972476842,0
2039,59.735164296223644,40.01961745953899,0.24521824423737126,165,178,5,6,692.7072094163806,674.4968925058221,454946.05800001055,60.0,1514.0,66.0,175.0,1480.0,0.0004894541441883276,0.000902541222451898,8.145806582249665e-07,0.0,0.008755,1.5e-05,0.000134,0.000532,96.45319274153997,33.71029105529941,1136.3837230329993,39.0,253.0,62.0,114.0,126.0,0,0,0,1196,412,4,37,11,0.7147120430358808,0.6592801234690503,0.5262229457141423,0
2114,60.028382213812684,39.68779564806055,0.28382213812677387,159,182,2,5,732.4214758751183,681.8648128707281,464939.623031233,60.0,1514.0,66.0,284.5,1480.0,0.0004721594134342479,0.0009008181560916604,8.11473350344379e-07,0.0,0.008564,1.6e-05,0.000132,0.00050375,98.33971286660359,33.007530952483165,1089.497099579134,39.0,253.0,63.0,113.0,126.0,0,0,0,1250,326,8,32,16,0.7116153622253538,0.6524390083581951,0.56180222503324,0
2148,50.37243947858473,49.44134078212291,0.186219739292365,141,149,2,2,812.4771880819367,690.7437692558799,477126.95476582024,60.0,1514.0,66.0,1087.0,1480.0,0.00046487662942271883,0.0009199518785907164,8.463114589225882e-07,0.0,0.008575,1.5e-05,0.000126,0.00042225,102.40267504655493,30.847891375723723,951.5924023284501,39.0,242.0,63.0,114.0,126.0,0,0,0,1073,270,6,15,6,0.6515842621793003,0.5895197624175538,0.49266105595618953,0
2298,53.22019147084421,46.51871192341166,0.26109660574412535,145,158,3,3,765.607049608355,689.0434165204329,474780.82985015074,60.0,1514.0,66.0,436.0,1480.0,0.0004348376849434291,0.0008092328266460688,6.548577677215864e-07,0.0,0.007999,1.725e-05,0.00013,0.00047274999999999997,100.47625718015667,32.047551439512176,1027.0455532681788,29.0,244.0,63.0,114.0,126.0,0,0,0,1200,314,4,40,19,0.6615045468302854,0.6098231836591155,0.49748200358114053,0
2558,57.66223612197029,41.94683346364347,0.3909304143862392,158,178,4,4,748.2994526974198,685.1205616906584,469390.1840513233,60.0,1514.0,66.0,330.5,1480.0,0.00039083815480844413,0.0007533282545678651,5.675034591302662e-07,0.0,0.007411,1.4e-05,0.000126,0.0003945,97.33918569194682,33.368483018948304,1113.4556589858414,39.0,255.64,62.0,114.0,126.0,0,0,0,1440,397,17,42,34,0.6689696074440872,0.6163531815818497,0.5086713769670953,0
2306,54.856895056374675,44.88291413703382,0.26019080659150046,147,145,3,3,770.918473547268,686.9019723350941,471834.31959784235,60.0,1514.0,66.0,553.5,1480.0,0.0004317189939288812,0.0008561361351769805,7.329690819557769e-07,0.0,0.008402,1.5e-05,0.000125,0.00042875,99.19155507372072,32.56693780740875,1060.6054381516292,41.102,255.128,63.0,114.0,126.0,0,0,0,1249,356,6,30,18,0.676444515444837,0.6239812215071064,0.5075860896393348,0
2330,57.33905579399141,42.36051502145923,0.30042918454935624,143,157,5,3,743.1145922746781,683.1608766184931,466708.783342148,60.0,1514.0,64.25,362.5,1480.0,0.0004285163090128755,0.0008494214073705587,7.215167272993806e-07,0.0,0.012576,1.5e-05,0.000127,0.0004175,98.52461630901287,33.77400993189539,1140.6837468797685,43.0,255.128,62.0,114.0,126.0,0,0,0,1309,364,18,49,41,0.6758052156666284,0.6201107691921723,0.49964276226018256,0
2140,56.401869158878505,43.22429906542056,0.3738317757009346,158,173,5,4,763.7546728971963,685.5887769716796,470031.97110952355,60.0,1514.0,66.0,457.5,1480.0,0.00046370654205607476,0.0009730009313422568,9.467308123928992e-07,0.0,0.010645,1.2e-05,0.00012,0.00042175,100.0226406542056,33.40495499672431,1115.8910183331761,40.0,255.128,63.0,114.0,126.0,0,0,0,1189,314,5,27,11,0.6593503927294235,0.6105986359257005,0.532809781056241,0
2366,52.15553677092139,47.25274725274725,0.591715976331361,149,154,5,4,787.6775147928994,683.1949594507687,466755.35261893744,60.0,1514.0,66.0,779.0,1480.0,0.0004217464074387151,0.0008795731445628253,7.736489166361367e-07,0.0,0.010399,1.4e-05,0.00012,0.00037375,102.29954099746406,31.589070495588725,997.8693747752742,37.0,255.128,63.0,114.0,126.0,0,0,0,1219,332,6,31,24,0.64498805637971,0.5812726666934438,0.5002268108365014,0
1571,75.17504774029281,24.31572246976448,0.5092297899427116,142,146,4,3,711.7428389560789,673.8968641473293,454136.983507604,60.0,1514.0,66.0,241.0,1480.0,0.000636102482495226,0.0013167121329595946,1.7337308410830052e-06,0.0,0.013992,1.4e-05,0.000147,0.000615,89.81567663908339,34.67808650106903,1202.569683375626,38.0,255.128,54.0,101.0,126.0,0,0,0,1156,344,6,37,13,0.7494483430574037,0.6735807315662933,0.6439799479437192,0
3014,70.27206370272063,29.528865295288654,0.19907100199071004,141,153,5,5,662.5179163901792,681.1616964654338,463981.2567316678,60.0,1514.0,62.0,128.0,1480.0,0.00033121930988719306,0.0007967536505721336,6.348163797000215e-07,0.0,0.013427,7e-06,9.2e-05,0.000223,95.7212886529529,32.63728605351383,1065.1924409388887,39.0,255.128,63.0,113.0,126.0,0,0,0,2091,333,7,49,29,0.6528881184386355,0.6046082498515061,0.5999825811221541,0
2031,63.26932545544067,36.58296405711472,0.14771048744460857,164,178,2,2,670.1422944362383,669.907877600632,448776.5644713833,60.0,1514.0,66.0,137.0,1480.0,0.0004872786804529788,0.0009868833257551915,9.739386986536275e-07,0.0,0.011924,1.4e-05,0.000126,0.0004805,94.74346282619399,33.589955880100014,1128.2851360270656,43.0,244.0,62.0,113.0,126.0,0,0,0,1268,456,4,28,11,0.7203608714624022,0.6696320253389824,0.5549994147643559,0
1926,56.02284527518172,43.821391484942886,0.1557632398753894,156,164,2,2,719.8847352024923,679.4899234409396,461706.55605777394,60.0,1514.0,66.0,234.0,1480.0,0.000517751298026999,0.0010964745199594892,1.2022563729203922e-06,0.0,0.01321,1.4e-05,0.000126,0.00048425000000000003,95.97940550363448,33.8034104983145,1142.670561317559,41.0,242.0,62.0,114.0,126.0,0,0,0,1066,340,3,18,10,0.7089507900500981,0.6482751367804771,0.5257421757867594,0
2194,56.335460346399266,43.43664539653601,0.22789425706472194,147,159,3,3,779.947128532361,687.7724022351381,473030.87727629265,60.0,1514.0,62.0,649.5,1480.0,0.0004548865086599818,0.0008894451522495968,7.911126788603085e-07,0.0,0.010109,1.4e-05,0.00012,0.0004485,100.4814772105743,32.56564724609256,1060.5213805569358,41.102,255.128,63.0,114.0,126.0,0,0,0,1221,323,4,25,27,0.6787707548408591,0.6140672503439804,0.5298685294202996,0
1820,70.21978021978022,29.725274725274726,0.054945054945054944,167,178,3,3,611.0714285714286,658.8200877585942,434043.90803424176,60.0,1514.0,62.0,127.0,1480.0,0.0005474346153846154,0.0009694817495354772,9.398948626823697e-07,0.0,0.009331,2.375e-05,0.000174,0.0006265,94.35273076923077,34.388999339998534,1182.6032756064194,43.0,244.0,55.0,113.0,126.0,0,0,0,1247,423,18,48,30,0.7396331261383299,0.674092988919925,0.6080725327717368,0
2129,69.09347111319869,30.671676843588543,0.23485204321277595,151,155,5,5,676.8093001409112,669.1534969842485,447766.40252624865,60.0,1514.0,66.0,157.0,1480.0,0.00046819069985908876,0.0009647389062463983,9.307211572254968e-07,0.0,0.009488,8e-06,0.000123,0.000442,89.26931094410521,33.89167603633324,1148.6457045517645,40.0,255.128,54.0,63.0,126.0,0,0,0,1444,444,5,45,17,0.720582410688146,0.6482477228481405,0.5926281026880489,0
3682,83.13416621401413,16.730038022813687,0.13579576317218903,169,164,5,5,855.4497555676263,698.1765179415929,487450.4502050475,60.0,1514.0,62.0,1466.0,1514.0,0.0002713261814231396,0.0005642844156334062,3.184169017267348e-07,0.0,0.011239,1.4e-05,0.000117,0.00025375,86.72633188484521,36.12138234905222,1304.7542628064211,2.0,255.128,54.0,63.0,126.0,0,0,0,3027,495,23,36,17,0.56534954469782,0.4981334672344326,0.719019101213225,0
4763,81.98614318706697,17.929876128490445,0.0839806844425782,164,176,4,5,887.8055847155155,700.5525997204666,490773.94497510424,60.0,1514.0,62.0,1480.0,1514.0,0.00020987444887675833,0.00038502780378187783,1.4824640968509623e-07,0.0,0.005058,1.4e-05,0.000107,0.000215,85.92621268108334,35.26619515445794,1243.7045206723128,41.0,253.0,54.0,63.0,126.0,0,0,0,3882,450,8,33,13,0.48049216845251663,0.43334111752790444,0.6711326790135783,0
4981,83.09576390283075,16.82393093756274,0.08030515960650472,151,167,4,4,883.5830154587433,703.4684921604317,494867.9194624713,60.0,1514.0,62.0,1480.0,1514.0,0.0002007257578799438,0.0003722254858635532,1.3855181232635824e-07,0.0,0.00651,1.2e-05,0.000106,0.000207,89.66758341698454,39.80720150635042,1584.6132917671866,39.0,255.128,54.0,63.0,126.0,0,0,0,4096,431,4,85,5,0.4736843328410315,0.4258147158344949,0.6620939863694794,0
3800,72.57894736842105,27.289473684210524,0.13157894736842105,167,175,4,4,839.3865789473684,692.8131279800735,479990.03030153376,60.0,1514.0,62.0,1454.0,1514.0,0.0002631302631578947,0.0005068684907263599,2.5691566689121795e-07,0.0,0.006714,8e-06,0.000102,0.000254,97.63035763157895,44.40698392951239,1971.9802217159722,43.0,255.128,54.0,113.0,126.0,0,0,0,2728,565,7,48,6,0.6600051059356912,0.5529452725392016,0.6425920889929017,0
2877,68.78693083072646,31.178310740354537,0.03475842891901286,170,176,2,2,745.7935349322211,686.6106075076723,471434.12634205486,60.0,1514.0,63.0,378.0,1480.0,0.0003474563781717067,0.0007961849955945078,6.339105472098264e-07,0.0,0.010997,7e-06,8.4e-05,0.000258,102.3636138338547,50.075167785508825,2507.5224287468604,43.0,245.0,62.0,113.0,126.0,0,0,0,1949,413,6,52,52,0.6748496122642643,0.5882467571438683,0.5781884649065718,0
3138,71.06437221159975,28.840025493945188,0.09560229445506692,198,200,5,8,731.5866794136392,671.9051126243943,451456.4803708,60.0,1514.0,62.0,463.5,1480.0,0.0003184378585086042,0.0006830528231338168,4.665611591910772e-07,0.0,0.008605,8e-06,0.000105,0.00028175,99.94592957297641,50.33068112345067,2533.1774623504734,28.0,253.0,62.0,107.0,126.0,0,0,0,2168,509,23,111,78,0.6638809203761833,0.5953413184465751,0.5811613348195053,0
2584,79.21826625386997,20.704334365325078,0.07739938080495357,159,178,2,2,725.4485294117648,678.2763382284145,460058.7910005466,60.0,1514.0,66.0,359.0,1514.0,0.0003868568111455108,0.0009215324931310304,8.492221358962927e-07,0.0,0.015142,7.75e-06,9.9e-05,0.000312,93.0560092879257,50.15014999675253,2515.0375446967782,37.0,245.0,53.0,63.0,126.0,0,0,0,2016,529,31,55,32,0.7114897358830459,0.6270558783104421,0.6814915098822034,0
2229,59.03992821893226,40.780619111709285,0.1794526693584567,135,144,4,4,763.7106325706595,683.9100760200066,467732.9920816912,60.0,1514.0,62.0,482.0,1480.0,0.00044689053387169135,0.0009540610575203138,9.102325014767795e-07,0.0,0.010455,1.3e-05,0.00012,0.000398,105.41946971736205,46.88198411925791,2197.9204349583506,36.0,255.64,62.0,114.0,126.0,0,0,0,1305,402,7,19,12,0.6976722546272288,0.6057043968739002,0.5584714884214655,0
2240,57.723214285714285,41.830357142857146,0.4464285714285714,141,149,3,4,753.3316964285714,684.0515609115358,467926.53798550856,60.0,1514.0,62.0,378.0,1480.0,0.00044544464285714287,0.001023780793678078,1.0481271135041154e-06,0.0,0.013578,8.75e-06,0.000114,0.00034250000000000003,102.32819553571429,40.68729504538277,1655.4559781100293,2.0,255.128,62.0,114.0,126.0,0,0,0,1278,391,8,27,26,0.703553460091765,0.61843191339763,0.5322753564620495,0
2131,51.19662130455185,48.756452369779446,0.04692632566870014,135,143,3,3,711.2285312060066,681.126253077649,463932.97263159754,60.0,1514.0,66.0,163.0,1480.0,0.0004681905208822149,0.0008796318234951537,7.737521449054092e-07,0.0,0.007502,1.5e-05,0.000128,0.0005235000000000001,99.55096762083528,32.176384852598325,1035.3197421825191,37.0,245.0,63.0,114.0,126.0,0,0,0,1076,370,8,22,12,0.6688412774058016,0.6182981354696474,0.493488556988262,0
2469,58.84973673552045,41.02875658161199,0.12150668286755771,144,155,4,5,745.9538274605103,683.3668860477871,466990.30094664934,60.0,1514.0,66.0,301.0,1480.0,0.00040454637505062775,0.0008395192978814841,7.0479265151542e-07,0.0,0.0072,8e-06,0.000109,0.000335,94.95023369785339,33.73134810080668,1137.8038446977944,40.0,244.0,63.0,113.0,126.0,0,0,0,1437,441,12,27,36,0.6907135840193573,0.6354011918055584,0.5377666821354178,0
3341,71.8048488476504,28.01556420233463,0.17958695001496558,156,165,3,5,798.9383418138282,695.4910476740406,483707.79739473463,60.0,1514.0,66.0,1083.0,1514.0,0.00029885243938940437,0.000708021659368917,5.012946701355147e-07,0.0,0.007347,4e-06,4.1e-05,0.000203,84.74637443879078,33.35173199777891,1112.3380272516697,31.0,253.0,54.0,63.0,126.0,0,0,0,2384,406,8,23,24,0.626474462678493,0.5779372388415458,0.5974499323495567,0
1757,70.80250426863974,28.912919749573135,0.28457598178713717,148,157,3,3,665.681844052362,667.8315115075277,445998.92776242906,60.0,1514.0,66.0,159.0,1480.0,0.0005683722253841776,0.0011439656284571915,1.3086573590914572e-06,0.0,0.019735,1.4e-05,0.000143,0.000599,96.64988275469551,39.29292289483569,1543.933789619503,40.0,243.0,62.0,113.0,126.0,0,0,0,1231,451,7,18,16,0.7363223517645221,0.6571661030881462,0.650756047267426,0
2051,56.167723061921016,43.63725012189176,0.19502681618722573,161,166,2,3,705.3471477328133,680.6204876509032,463244.2482101533,60.0,1514.0,62.0,161.0,1480.0,0.00048690980009751336,0.0009932619098788125,9.865692216161064e-07,0.0,0.015199,1.6e-05,0.000127,0.0004845,100.11065821550464,34.9398924143527,1220.796081926541,40.0,253.0,63.0,114.0,126.0,0,0,0,1140,361,9,21,20,0.6910605155810314,0.6238063385350844,0.5025722077271333,0
2985,69.01172529313233,30.753768844221106,0.23450586264656617,157,162,3,5,733.5752093802345,671.2165422352207,450531.64657020586,60.0,1514.0,66.0,378.0,1480.0,0.00033351189279731995,0.0007008656476875678,4.912126561085139e-07,0.0,0.010092,7e-06,0.000103,0.000306,102.6084013400335,52.50216446743711,2756.477273765816,40.0,255.128,62.0,113.0,126.0,0,1,0,2025,723,15,64,24,0.6713900720658726,0.5955882856117125,0.6185598278439112,0
3017,58.1703679151475,41.498176997016905,0.3314550878355983,176,180,6,4,765.1123632747763,672.7648933767492,452612.6017602287,60.0,1514.0,62.0,590.0,1480.0,0.0003306426914153132,0.000697977080982871,4.871720055773693e-07,0.0,0.009529,5e-06,0.000109,0.000284,100.5419151474975,37.91178108914019,1437.3031453508877,43.0,255.128,63.0,114.0,126.0,0,0,0,1713,488,29,71,37,0.6605767887004385,0.581486540869774,0.5426810269926886,0
2453,50.224215246636774,49.65348552792499,0.12229922543823889,141,149,3,4,748.5878516102731,677.713473022563,459295.5515163042,60.0,1514.0,66.0,378.0,1480.0,0.0004071043620057073,0.0008095800709163039,6.554198912248477e-07,0.0,0.009488,8e-06,0.000122,0.000374,98.7815442315532,32.12725060863193,1032.160231669841,42.0,255.128,63.0,114.0,126.0,0,0,0,1213,376,17,24,27,0.6479907376320311,0.59644762976363,0.48009139218702324,0
1621,65.57680444170265,33.92967304133251,0.4935225169648365,157,163,5,3,691.4083898827884,672.0080033537857,451594.7565715418,60.0,1514.0,64.0,190.0,1480.0,0.0006165058605798889,0.0012602807861728659,1.5883076599964968e-06,0.0,0.015314,4.4e-05,0.000143,0.000619,99.3588451573103,39.17253125512081,1534.4872049334165,1.0,255.64,63.0,114.0,126.0,0,0,0,1043,319,13,33,21,0.736570025284698,0.6679380179321217,0.5833020948708058,0
2156,59.32282003710575,40.25974025974026,0.4174397031539889,179,188,6,6,738.8079777365492,683.7445767046237,467506.6461729851,60.0,1514.0,62.0,342.5,1480.0,0.0004615329313543599,0.0009996489436376907,9.992980105159507e-07,0.0,0.017815,4.4e-05,0.000127,0.00044225,99.78284554730983,35.97243572608822,1294.0161320675484,2.0,255.128,63.0,114.0,126.0,0,0,0,1248,344,20,56,33,0.6889322805384677,0.6201359786948826,0.5340770182696228,0
2445,52.392638036809814,47.32106339468303,0.28629856850715746,172,183,4,4,730.6343558282208,687.4712334746819,472616.6968552006,60.0,1514.0,62.0,239.0,1480.0,0.0004082261758691207,0.0008384638704193925,7.030216619986678e-07,0.0,0.011008,4.2e-05,0.000122,0.00039,101.79553169734152,34.50867748099355,1190.8488214872314,42.0,255.128,63.0,114.0,126.0,0,0,0,1257,308,11,37,92,0.6406719989017223,0.5892141003207668,0.45382343089880495,0
2314,47.752808988764045,51.77182368193605,0.47536732929991354,165,173,5,7,757.2376836646499,689.068954384898,474816.0238970966,60.0,1514.0,62.0,378.0,1480.0,0.00043191184096802074,0.0008811962386861416,7.765068110746034e-07,0.0,0.009282,4.4e-05,0.000125,0.000369,102.34465816767502,32.554477684746836,1059.7940173266798,33.0,255.128,63.0,114.5,126.0,0,0,0,1057,261,20,80,31,0.6368229999979279,0.5781500330728622,0.42250678627183225,0
2671,54.54885810557843,45.22650692624485,0.22463496817671283,158,161,5,4,759.7592661924373,685.1833293612137,469476.19483451755,60.0,1514.0,62.0,446.0,1480.0,0.00037261849494571323,0.000813361240751878,6.615565079574345e-07,0.0,0.01209,6e-06,0.000117,0.000294,97.74446536877574,32.583112500399466,1061.6592202136878,33.0,255.128,63.0,114.0,126.0,0,0,0,1424,455,12,58,14,0.6562426625732621,0.5917178640973473,0.5065292297411292,0
2557,67.73562768869769,32.06883066093078,0.19554165037152915,185,204,3,4,682.9749706687525,675.9359321339658,456889.3843498133,60.0,1514.0,66.0,148.0,1480.0,0.00038989518967540084,0.000790653840851198,6.251334960527516e-07,0.0,0.011,6e-06,0.000123,0.000365,89.744843957763,37.3370761957248,1394.0572588453595,40.0,253.0,54.0,104.0,126.0,0,0,0,1668,493,17,120,24,0.6753263004253299,0.633339598264625,0.5748687058960159,0
1922,62.07075962539022,37.66909469302809,0.2601456815816858,178,189,3,5,769.9604578563996,684.5697421795348,468635.7319077548,60.0,1514.0,66.0,493.5,1480.0,0.0005194266389177939,0.0011021629541918773,1.214763177592966e-06,0.0,0.013229,4e-05,0.000128,0.000552,94.5393095733611,35.16483644444996,1236.5657221649162,2.0,253.0,56.0,113.0,126.0,0,0,0,1179,276,22,27,21,0.6939714899759432,0.604714130761511,0.5663166846521043,0
2009,60.47784967645595,39.47237431557989,0.049776007964161276,161,167,4,5,751.6301642608263,680.6253657863595,463250.88855181565,60.0,1514.0,66.0,378.0,1480.0,0.0004963339970134395,0.0011876521556720687,1.4105176428725118e-06,0.0,0.032917,3.8e-05,0.000128,0.000486,95.62026729716277,35.3183698806813,1247.3872510286162,38.0,253.0,56.0,113.0,126.0,0,0,0,1205,321,9,20,19,0.6751423504624146,0.6017619098243192,0.5764991804134005,0
